company_name,ticker,exchange,us_investable_class,decisions_tracked,approvals_tracked,crls_tracked,withdrawals_flagged,priority_review_count,accelerated_approval_count,standard_review_count,pathway_known_count,success_rate_pct,success_rate_wilson_lower_pct,success_rate_shrunk_pct,price_events,positive_reaction_rate_pct,median_pct_on_decision,median_pct_t1,pipeline_programs,advanced_count,paused_count,pipeline_progression_pct,score_outcome,score_market,score_experience,score_pathway,score_pipeline,total_score_0_100,grade,confidence,last_decision_date,recency_days,data_scope,inputs_source,notes
"Alnylam Pharmaceuticals, Inc.",ALNY,NASDAQ,US-LISTED,4,4,0,0,2,0,1,3,100.0,51.0,96.0,2,100.0,4.58,7.16,,,,,27.96,19.85,13.94,11.11,,72.9,B,Moderate,2022-06-13,1552,Verified - components used: outcome+market+experience+pathway (FDA decisions + prices only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (4 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (2 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 4 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 96.0% (raw 100.0%, Wilson95 LB 51.0%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.84 of the component | Market: 2 priced events, 100% positive at T+1, median T+1 +7.16% -> 0.71 | Experience: 4 tracked decisions -> 0.63 (saturates at 12) | Pathway: 2/3 approvals Priority Review (67%), 0 accelerated (0%) -> 0.67 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, market=25, experience=20, pathway=15."
Bayer AG (with Orion),BAYRY,OTC ADR; primary XETRA:BAYN,US-LISTED (ADR),17,16,1,0,7,3,4,11,94.1,73.0,93.6,1,100.0,0.38,0.38,,,,,24.79,16.84,22.22,9.04,,72.9,B,Moderate,2026-06-12,92,Verified - components used: outcome+market+experience+pathway (FDA decisions + prices only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (16 approval rows), data/fda_crl_master.csv (1 CRL rows), data/stock_price_snapshots.csv (1 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 16 approvals / 1 CRLs / 0 withdrawals flagged -> shrunk rate 93.6% (raw 94.1%, Wilson95 LB 73.0%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.74 of the component | Market: 1 priced events, 100% positive at T+1, median T+1 +0.38% -> 0.61 | Experience: 17 tracked decisions -> 1.00 (saturates at 12) | Pathway: 7/11 approvals Priority Review (64%), 3 accelerated (19%) -> 0.54 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, market=25, experience=20, pathway=15."
Acadia Pharmaceuticals,ACAD,NASDAQ,US-LISTED,2,2,0,0,2,0,0,2,100.0,34.2,94.4,0,,,,,,,,35.74,,13.18,23.08,,72.0,B,Low,2023-03-10,1282,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (2 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 2 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 94.4% (raw 100.0%, Wilson95 LB 34.2%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.77 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 2 tracked decisions -> 0.43 (saturates at 12) | Pathway: 2/2 approvals Priority Review (100%), 0 accelerated (0%) -> 1.00 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
Advanced Accelerator Applications (AAA; acquired by Novartis 2018),AAAP,NASDAQ (delisted 2018),US-LISTED,2,2,0,0,1,0,0,1,100.0,34.2,94.4,0,,,,,,,,35.74,,13.18,23.08,,72.0,B,Low,2018-01-26,3151,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (2 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 2 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 94.4% (raw 100.0%, Wilson95 LB 34.2%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.77 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 2 tracked decisions -> 0.43 (saturates at 12) | Pathway: 1/1 approvals Priority Review (100%), 0 accelerated (0%) -> 1.00 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
Agios Pharmaceuticals,AGIO,NASDAQ,US-LISTED,2,2,0,0,1,0,0,1,100.0,34.2,94.4,0,,,,,,,,35.74,,13.18,23.08,,72.0,B,Low,2022-02-17,1668,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (2 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 2 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 94.4% (raw 100.0%, Wilson95 LB 34.2%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.77 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 2 tracked decisions -> 0.43 (saturates at 12) | Pathway: 1/1 approvals Priority Review (100%), 0 accelerated (0%) -> 1.00 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
"Blueprint Medicines Corporation (acquired by Sanofi, 2025)",BPMC,"formerly NASDAQ:BPMC, delisted 2025",FORMERLY US-LISTED (DELISTED/ACQUIRED),2,2,0,0,1,0,0,1,100.0,34.2,94.4,0,,,,,,,,35.74,,13.18,23.08,,72.0,B,Low,2020-09-04,2199,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (2 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 2 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 94.4% (raw 100.0%, Wilson95 LB 34.2%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.77 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 2 tracked decisions -> 0.43 (saturates at 12) | Pathway: 1/1 approvals Priority Review (100%), 0 accelerated (0%) -> 1.00 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
Chiesi Farmaceutici (applicant; private) with Protalix BioTherapeutics (developer),PLX,NYSE American (Protalix proxy),US-LISTED,2,2,0,0,1,0,0,1,100.0,34.2,94.4,0,,,,,,,,35.74,,13.18,23.08,,72.0,B,Low,2023-05-09,1222,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (2 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 2 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 94.4% (raw 100.0%, Wilson95 LB 34.2%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.77 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 2 tracked decisions -> 0.43 (saturates at 12) | Pathway: 1/1 approvals Priority Review (100%), 0 accelerated (0%) -> 1.00 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
Mylan (Viatris 2020; Theravance Biopharma developer),MYL,NYSE,FORMERLY US-LISTED (DELISTED/ACQUIRED),2,2,0,0,1,0,0,1,100.0,34.2,94.4,0,,,,,,,,35.74,,13.18,23.08,,72.0,B,Low,2019-08-14,2586,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (2 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 2 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 94.4% (raw 100.0%, Wilson95 LB 34.2%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.77 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 2 tracked decisions -> 0.43 (saturates at 12) | Pathway: 1/1 approvals Priority Review (100%), 0 accelerated (0%) -> 1.00 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
Pharma Hameln GmbH,,N/A - privately held,PRIVATE / NO EQUITY,2,2,0,0,2,0,0,2,100.0,34.2,94.4,0,,,,,,,,35.74,,13.18,23.08,,72.0,B,Low,2004-08-11,8067,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (2 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (none)","Outcome: 2 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 94.4% (raw 100.0%, Wilson95 LB 34.2%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.77 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 2 tracked decisions -> 0.43 (saturates at 12) | Pathway: 2/2 approvals Priority Review (100%), 0 accelerated (0%) -> 1.00 | Pipeline: no pipeline scorecard on file | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
"SpringWorks Therapeutics (at approval; later acquired by Merck KGaA, closed Jul 2025)",SWTX,"formerly NASDAQ:SWTX, delisted Jul 2025",FORMERLY US-LISTED (DELISTED/ACQUIRED),2,2,0,0,2,0,0,2,100.0,34.2,94.4,0,,,,,,,,35.74,,13.18,23.08,,72.0,B,Low,2025-02-11,578,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (2 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 2 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 94.4% (raw 100.0%, Wilson95 LB 34.2%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.77 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 2 tracked decisions -> 0.43 (saturates at 12) | Pathway: 2/2 approvals Priority Review (100%), 0 accelerated (0%) -> 1.00 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
"Tesaro, Inc. (acquired by GSK 2018)",TSRO,NASDAQ (delisted 2019),US-LISTED,2,2,0,0,1,0,0,1,100.0,34.2,94.4,0,,,,,,,,35.74,,13.18,23.08,,72.0,B,Low,2017-03-27,3456,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (2 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 2 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 94.4% (raw 100.0%, Wilson95 LB 34.2%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.77 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 2 tracked decisions -> 0.43 (saturates at 12) | Pathway: 1/1 approvals Priority Review (100%), 0 accelerated (0%) -> 1.00 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
Incyte Corporation,INCY,NASDAQ,US-LISTED,4,4,0,0,4,3,0,4,100.0,51.0,96.0,2,100.0,2.96,5.78,,,,,27.96,19.24,13.94,10.42,,71.6,B,Moderate,2024-08-14,759,Verified - components used: outcome+market+experience+pathway (FDA decisions + prices only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (4 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (2 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 4 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 96.0% (raw 100.0%, Wilson95 LB 51.0%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.84 of the component | Market: 2 priced events, 100% positive at T+1, median T+1 +5.78% -> 0.69 | Experience: 4 tracked decisions -> 0.63 (saturates at 12) | Pathway: 4/4 approvals Priority Review (100%), 3 accelerated (75%) -> 0.62 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, market=25, experience=20, pathway=15."
Merck & Co.,MRK,NYSE,US-LISTED,28,27,1,0,10,0,7,17,96.4,82.3,95.9,5,60.0,0.89,1.92,8,0,0,,27.82,10.85,22.22,9.8,,70.7,B,Moderate,2026-07-15,59,Verified - components used: outcome+market+experience+pathway (FDA decisions + prices only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (27 approval rows), data/fda_crl_master.csv (1 CRL rows), data/stock_price_snapshots.csv (5 priced events), data/company_scorecards.csv (deep-dive)","Outcome: 27 approvals / 1 CRLs / 0 withdrawals flagged -> shrunk rate 95.9% (raw 96.4%, Wilson95 LB 82.3%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.83 of the component | Market: 5 priced events, 60% positive at T+1, median T+1 +1.92% -> 0.39 | Experience: 28 tracked decisions -> 1.00 (saturates at 12) | Pathway: 10/17 approvals Priority Review (59%), 0 accelerated (0%) -> 0.59 | Pipeline: deep-dive scorecard records no phase transitions yet | Component weights re-normalised over available components: outcome=30, market=25, experience=20, pathway=15."
UCB,UCB.BR,Euronext Brussels; no US ticker,NON-US LISTING ONLY,4,4,0,0,2,0,2,4,100.0,51.0,96.0,0,,,,,,,,38.72,,19.31,11.54,,69.6,B,Moderate,2025-11-03,313,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (4 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 4 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 96.0% (raw 100.0%, Wilson95 LB 51.0%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.84 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 4 tracked decisions -> 0.63 (saturates at 12) | Pathway: 2/4 approvals Priority Review (50%), 0 accelerated (0%) -> 0.50 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
Ipsen S.A.,IPN.PA,Euronext Paris; no US ticker,NON-US LISTING ONLY,3,3,0,0,2,2,0,2,100.0,43.8,95.3,0,,,,,,,,37.48,,16.63,15.38,,69.5,B,Moderate,2024-06-10,824,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (3 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 3 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 95.3% (raw 100.0%, Wilson95 LB 43.8%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.81 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 3 tracked decisions -> 0.54 (saturates at 12) | Pathway: 2/2 approvals Priority Review (100%), 2 accelerated (67%) -> 0.67 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
Schering-Plough (acquired by Merck 2009),SGP,,FORMERLY US-LISTED (DELISTED/ACQUIRED),3,3,0,0,2,0,1,3,100.0,43.8,95.3,0,,,,,,,,37.48,,16.63,15.38,,69.5,B,Moderate,2006-09-15,7302,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (3 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 3 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 95.3% (raw 100.0%, Wilson95 LB 43.8%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.81 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 3 tracked decisions -> 0.54 (saturates at 12) | Pathway: 2/3 approvals Priority Review (67%), 0 accelerated (0%) -> 0.67 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
Biogen Inc.,BIIB,NASDAQ,US-LISTED,9,8,1,1,4,2,1,5,80.0,49.0,82.4,1,100.0,38.34,38.17,,,,,9.93,27.78,19.95,11.25,,68.9,B,Moderate,2025-09-22,355,Verified - components used: outcome+market+experience+pathway (FDA decisions + prices only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (8 approval rows), data/fda_crl_master.csv (1 CRL rows), data/stock_price_snapshots.csv (1 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 8 approvals / 1 CRLs / 1 withdrawals flagged -> shrunk rate 82.4% (raw 80.0%, Wilson95 LB 49.0%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.30 of the component | Market: 1 priced events, 100% positive at T+1, median T+1 +38.17% -> 1.00 | Experience: 9 tracked decisions -> 0.90 (saturates at 12) | Pathway: 4/5 approvals Priority Review (80%), 2 accelerated (25%) -> 0.68 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, market=25, experience=20, pathway=15."
TAP Pharmaceutical Products (Takeda/Abbott JV),4502,TSE,NON-US LISTING ONLY,5,5,0,0,1,0,3,4,100.0,56.6,96.5,0,,,,,,,,39.65,,21.49,5.77,,66.9,B,Moderate,2013-01-25,4978,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (5 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 5 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 96.5% (raw 100.0%, Wilson95 LB 56.6%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.86 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 5 tracked decisions -> 0.70 (saturates at 12) | Pathway: 1/4 approvals Priority Review (25%), 0 accelerated (0%) -> 0.25 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
Astellas Pharma Inc.,ALPMY,OTC ADR; primary TSE:4503,US-LISTED (ADR),4,4,0,0,1,1,0,2,100.0,51.0,96.0,0,,,,,,,,38.72,,19.31,8.65,,66.7,B,Moderate,2024-10-18,694,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (4 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 4 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 96.0% (raw 100.0%, Wilson95 LB 51.0%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.84 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 4 tracked decisions -> 0.63 (saturates at 12) | Pathway: 1/2 approvals Priority Review (50%), 1 accelerated (25%) -> 0.38 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
"Gilead Sciences, Inc.",GILD,NASDAQ,US-LISTED,18,16,2,0,11,2,2,13,88.9,67.2,89.1,3,66.7,0.76,1.72,,,,,18.84,11.88,22.22,13.06,,66.0,B,Moderate,2026-05-22,113,Verified - components used: outcome+market+experience+pathway (FDA decisions + prices only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (16 approval rows), data/fda_crl_master.csv (2 CRL rows), data/stock_price_snapshots.csv (3 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 16 approvals / 2 CRLs / 0 withdrawals flagged -> shrunk rate 89.1% (raw 88.9%, Wilson95 LB 67.2%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.57 of the component | Market: 3 priced events, 67% positive at T+1, median T+1 +1.72% -> 0.43 | Experience: 18 tracked decisions -> 1.00 (saturates at 12) | Pathway: 11/13 approvals Priority Review (85%), 2 accelerated (12%) -> 0.78 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, market=25, experience=20, pathway=15."
"BridgeBio Pharma, Inc.",BBIO,NASDAQ,US-LISTED,1,1,0,0,0,0,0,0,100.0,20.7,93.0,1,100.0,0.77,17.0,,,,,28.72,29.06,7.21,,,65.0,C,Low,2024-11-22,659,Verified - components used: outcome+market+experience (FDA decisions + prices only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (1 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (1 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 1 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 93.0% (raw 100.0%, Wilson95 LB 20.7%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.72 of the component | Market: 1 priced events, 100% positive at T+1, median T+1 +17.00% -> 0.87 | Experience: 1 tracked decisions -> 0.27 (saturates at 12) | Pathway: review_pathway not published for these rows (left blank upstream) | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, market=25, experience=20."
Ascendis Pharma A/S,ASND,NASDAQ,US-LISTED,3,3,0,0,1,2,1,2,100.0,43.8,95.3,3,100.0,1.97,14.34,,,,,27.07,23.04,12.01,2.78,,64.9,C,Moderate,2026-02-27,197,Verified - components used: outcome+market+experience+pathway (FDA decisions + prices only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (3 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (3 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 3 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 95.3% (raw 100.0%, Wilson95 LB 43.8%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.81 of the component | Market: 3 priced events, 100% positive at T+1, median T+1 +14.34% -> 0.83 | Experience: 3 tracked decisions -> 0.54 (saturates at 12) | Pathway: 1/2 approvals Priority Review (50%), 2 accelerated (67%) -> 0.17 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, market=25, experience=20, pathway=15."
